Index	Timecode	Active Area Aspect Ratio	Anamorphic Lens Squeeze Ratio	Aperture Ring T Stop Position	Aperture Value	Aspect Ratio	Audio Bit Depth	Audio Codec	Audio Sampling Rate	Auto Exposure Mode	Auto Focus Sensing Area Setting	Auto White Balance Mode	Camera	Camera Attributes	Camera Knee Point	Camera Knee Slope	Camera Master Black Level	Camera Master Gain Adjustment	Camera Roll Angle	Camera Tilt Angle	Capture FPS	Capture Gamma Equation	Color For Look	Color Primaries	Cooke Distortion Mapping	Cooke Inertial Data	Cooke Protocol User Metadata	Creation Date	Current Focal Length	Drop Frame	Duration	Effective Marker Aspect Ratio	Electrical Extender Magnification	Embedded 3DLUT	End	Entrance Pupil Position	Exposure Index	Far Focus Distance	Focus Distance	Focus Position From Image Plane	Focus Ring Position	Format FPS	Gamma For Look	Gamma for CDL	Horizontal Field of View	Hyperfocal Distance	ISO Sensitivity	Image Orientation	Image Sensor Dimension Effective Height	Image Sensor Dimension Effective Width	Image Sensor Readout Mode	Iris F-Number	Iris Ring Position	Iris T-Number	LED Wall Color Temperature	LED Wall Moire Alert Level	Lens Attributes	Lens Serial Number	Lens Zoom 35mm Still Camera Equivalent	Lens Zoom Actual Focal Length	Light Blend Ratio with LED Wall	Look Process Baked	Macro Setting	Monitoring Base Curve	Monitoring Characteristics	Monitoring Coding Equations	Monitoring Color Primaries	Monitoring Descriptions	ND Filter Wheel	Near Focus Distance	Normalised Zoom Value	Number of Audio Channels	Optical Extender Magnification	Pixel Aspect Ratio	Post-CDL Transform	Pre-CDL Transform	Raw Black Code	Raw Gray Code	Raw White Code	Resolution	Rotary Shutter Mode	Shutter Speed Angle	Shutter Speed Time	Start	Sub Sampling	Tint Correction	UMID	User Frame Line1	User Frame Line2	Video Bit Depth	Video Codec	Video Signal	White Balance	ZEISS eXtended Data	Zoom Ring Position	
27	10:07:52:19	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version4.00				0.00dB	0.30000	2.10000	24p	scene-linear	s-gamut3-cine					2025-08-27 10:07:51		NDF	00:00:26:20	6048:4032	100%		10:08:18:12		500			1.311m	49548	24p	s-log3-cine	s-log3-cine			500	normal	23950um	35925um	ProgressiveFrame	5	27029				 35 61914R CMot		35mm	35mm		false		rec709	rec709	rec709	rec709	ART:SL3SG3C;250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.art	1/4			4	100%	1:1	LUT:250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.cube	none	512	1504	5472	6048x4032		172.50deg	1/50sec	10:07:51:17		0.00000	060A2B340101010501010D43130000009687100C140906D7143FA6FFFE70E4D1	5504x2306+0+0			X-OCN XT		5200		32768	
28	10:07:52:20	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version4.00				0.00dB	0.30000	2.10000	24p	scene-linear	s-gamut3-cine					2025-08-27 10:07:51		NDF	00:00:26:20	6048:4032	100%		10:08:18:12		500			1.311m	49548	24p	s-log3-cine	s-log3-cine			500	normal	23950um	35925um	ProgressiveFrame	5	27029				 35 61914R CMot		35mm	35mm		false		rec709	rec709	rec709	rec709	ART:SL3SG3C;250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.art	1/4			4	100%	1:1	LUT:250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.cube	none	512	1504	5472	6048x4032		172.50deg	1/50sec	10:07:51:17		0.00000	060A2B340101010501010D43130000009687100C140906D7143FA6FFFE70E4D1	5504x2306+0+0			X-OCN XT		5200		32768	
29	10:07:52:21	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version4.00				0.00dB	0.30000	2.10000	24p	scene-linear	s-gamut3-cine					2025-08-27 10:07:51		NDF	00:00:26:20	6048:4032	100%		10:08:18:12		500			1.311m	49548	24p	s-log3-cine	s-log3-cine			500	normal	23950um	35925um	ProgressiveFrame	5	27029				 35 61914R CMot		35mm	35mm		false		rec709	rec709	rec709	rec709	ART:SL3SG3C;250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.art	1/4			4	100%	1:1	LUT:250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.cube	none	512	1504	5472	6048x4032		172.50deg	1/50sec	10:07:51:17		0.00000	060A2B340101010501010D43130000009687100C140906D7143FA6FFFE70E4D1	5504x2306+0+0			X-OCN XT		5200		32768	
30	10:07:52:22	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version4.00				0.00dB	0.30000	2.10000	24p	scene-linear	s-gamut3-cine					2025-08-27 10:07:51		NDF	00:00:26:20	6048:4032	100%		10:08:18:12		500			1.311m	49548	24p	s-log3-cine	s-log3-cine			500	normal	23950um	35925um	ProgressiveFrame	5	27029				 35 61914R CMot		35mm	35mm		false		rec709	rec709	rec709	rec709	ART:SL3SG3C;250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.art	1/4			4	100%	1:1	LUT:250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.cube	none	512	1504	5472	6048x4032		172.50deg	1/50sec	10:07:51:17		0.00000	060A2B340101010501010D43130000009687100C140906D7143FA6FFFE70E4D1	5504x2306+0+0			X-OCN XT		5200		32768	
31	10:07:52:23	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version4.00				0.00dB	0.40000	2.10000	24p	scene-linear	s-gamut3-cine					2025-08-27 10:07:51		NDF	00:00:26:20	6048:4032	100%		10:08:18:12		500			1.311m	49548	24p	s-log3-cine	s-log3-cine			500	normal	23950um	35925um	ProgressiveFrame	5	27029				 35 61914R CMot		35mm	35mm		false		rec709	rec709	rec709	rec709	ART:SL3SG3C;250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.art	1/4			4	100%	1:1	LUT:250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.cube	none	512	1504	5472	6048x4032		172.50deg	1/50sec	10:07:51:17		0.00000	060A2B340101010501010D43130000009687100C140906D7143FA6FFFE70E4D1	5504x2306+0+0			X-OCN XT		5200		32768	
32	10:07:53:00	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version4.00				0.00dB	0.40000	2.10000	24p	scene-linear	s-gamut3-cine					2025-08-27 10:07:51		NDF	00:00:26:20	6048:4032	100%		10:08:18:12		500			1.311m	49548	24p	s-log3-cine	s-log3-cine			500	normal	23950um	35925um	ProgressiveFrame	5	27029				 35 61914R CMot		35mm	35mm		false		rec709	rec709	rec709	rec709	ART:SL3SG3C;250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.art	1/4			4	100%	1:1	LUT:250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.cube	none	512	1504	5472	6048x4032		172.50deg	1/50sec	10:07:51:17		0.00000	060A2B340101010501010D43130000009687100C140906D7143FA6FFFE70E4D1	5504x2306+0+0			X-OCN XT		5200		32768	
33	10:07:53:01	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version4.00				0.00dB	0.30000	2.20000	24p	scene-linear	s-gamut3-cine					2025-08-27 10:07:51		NDF	00:00:26:20	6048:4032	100%		10:08:18:12		500			1.311m	49548	24p	s-log3-cine	s-log3-cine			500	normal	23950um	35925um	ProgressiveFrame	5	27029				 35 61914R CMot		35mm	35mm		false		rec709	rec709	rec709	rec709	ART:SL3SG3C;250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.art	1/4			4	100%	1:1	LUT:250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.cube	none	512	1504	5472	6048x4032		172.50deg	1/50sec	10:07:51:17		0.00000	060A2B340101010501010D43130000009687100C140906D7143FA6FFFE70E4D1	5504x2306+0+0			X-OCN XT		5200		32768	
34	10:07:53:02	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version4.00				0.00dB	0.30000	2.20000	24p	scene-linear	s-gamut3-cine					2025-08-27 10:07:51		NDF	00:00:26:20	6048:4032	100%		10:08:18:12		500			1.311m	49548	24p	s-log3-cine	s-log3-cine			500	normal	23950um	35925um	ProgressiveFrame	5	27029				 35 61914R CMot		35mm	35mm		false		rec709	rec709	rec709	rec709	ART:SL3SG3C;250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.art	1/4			4	100%	1:1	LUT:250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.cube	none	512	1504	5472	6048x4032		172.50deg	1/50sec	10:07:51:17		0.00000	060A2B340101010501010D43130000009687100C140906D7143FA6FFFE70E4D1	5504x2306+0+0			X-OCN XT		5200		32768	
35	10:07:53:03	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version4.00				0.00dB	0.30000	2.20000	24p	scene-linear	s-gamut3-cine					2025-08-27 10:07:51		NDF	00:00:26:20	6048:4032	100%		10:08:18:12		500			1.311m	49548	24p	s-log3-cine	s-log3-cine			500	normal	23950um	35925um	ProgressiveFrame	5	27029				 35 61914R CMot		35mm	35mm		false		rec709	rec709	rec709	rec709	ART:SL3SG3C;250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.art	1/4			4	100%	1:1	LUT:250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.cube	none	512	1504	5472	6048x4032		172.50deg	1/50sec	10:07:51:17		0.00000	060A2B340101010501010D43130000009687100C140906D7143FA6FFFE70E4D1	5504x2306+0+0			X-OCN XT		5200		32768	
36	10:07:53:04	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version4.00				0.00dB	0.20000	2.10000	24p	scene-linear	s-gamut3-cine					2025-08-27 10:07:51		NDF	00:00:26:20	6048:4032	100%		10:08:18:12		500			1.311m	49548	24p	s-log3-cine	s-log3-cine			500	normal	23950um	35925um	ProgressiveFrame	5	27029				 35 61914R CMot		35mm	35mm		false		rec709	rec709	rec709	rec709	ART:SL3SG3C;250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.art	1/4			4	100%	1:1	LUT:250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.cube	none	512	1504	5472	6048x4032		172.50deg	1/50sec	10:07:51:17		0.00000	060A2B340101010501010D43130000009687100C140906D7143FA6FFFE70E4D1	5504x2306+0+0			X-OCN XT		5200		32768	
37	10:07:53:05	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version4.00				0.00dB	0.20000	2.10000	24p	scene-linear	s-gamut3-cine					2025-08-27 10:07:51		NDF	00:00:26:20	6048:4032	100%		10:08:18:12		500			1.311m	49548	24p	s-log3-cine	s-log3-cine			500	normal	23950um	35925um	ProgressiveFrame	5	27029				 35 61914R CMot		35mm	35mm		false		rec709	rec709	rec709	rec709	ART:SL3SG3C;250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.art	1/4			4	100%	1:1	LUT:250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.cube	none	512	1504	5472	6048x4032		172.50deg	1/50sec	10:07:51:17		0.00000	060A2B340101010501010D43130000009687100C140906D7143FA6FFFE70E4D1	5504x2306+0+0			X-OCN XT		5200		32768	
38	10:07:53:06	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version4.00				0.00dB	0.40000	2.10000	24p	scene-linear	s-gamut3-cine					2025-08-27 10:07:51		NDF	00:00:26:20	6048:4032	100%		10:08:18:12		500			1.311m	49548	24p	s-log3-cine	s-log3-cine			500	normal	23950um	35925um	ProgressiveFrame	5	27029				 35 61914R CMot		35mm	35mm		false		rec709	rec709	rec709	rec709	ART:SL3SG3C;250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.art	1/4			4	100%	1:1	LUT:250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.cube	none	512	1504	5472	6048x4032		172.50deg	1/50sec	10:07:51:17		0.00000	060A2B340101010501010D43130000009687100C140906D7143FA6FFFE70E4D1	5504x2306+0+0			X-OCN XT		5200		32768	
39	10:07:53:07	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version4.00				0.00dB	0.40000	2.10000	24p	scene-linear	s-gamut3-cine					2025-08-27 10:07:51		NDF	00:00:26:20	6048:4032	100%		10:08:18:12		500			1.311m	49555	24p	s-log3-cine	s-log3-cine			500	normal	23950um	35925um	ProgressiveFrame	5	27029				 35 61914R CMot		35mm	35mm		false		rec709	rec709	rec709	rec709	ART:SL3SG3C;250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.art	1/4			4	100%	1:1	LUT:250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.cube	none	512	1504	5472	6048x4032		172.50deg	1/50sec	10:07:51:17		0.00000	060A2B340101010501010D43130000009687100C140906D7143FA6FFFE70E4D1	5504x2306+0+0			X-OCN XT		5200		32768	
40	10:07:53:08	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version4.00				0.00dB	0.40000	2.10000	24p	scene-linear	s-gamut3-cine					2025-08-27 10:07:51		NDF	00:00:26:20	6048:4032	100%		10:08:18:12		500			1.311m	49556	24p	s-log3-cine	s-log3-cine			500	normal	23950um	35925um	ProgressiveFrame	5	27029				 35 61914R CMot		35mm	35mm		false		rec709	rec709	rec709	rec709	ART:SL3SG3C;250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.art	1/4			4	100%	1:1	LUT:250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.cube	none	512	1504	5472	6048x4032		172.50deg	1/50sec	10:07:51:17		0.00000	060A2B340101010501010D43130000009687100C140906D7143FA6FFFE70E4D1	5504x2306+0+0			X-OCN XT		5200		32768	
41	10:07:53:09	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version4.00				0.00dB	0.20000	2.00000	24p	scene-linear	s-gamut3-cine					2025-08-27 10:07:51		NDF	00:00:26:20	6048:4032	100%		10:08:18:12		500			1.312m	49559	24p	s-log3-cine	s-log3-cine			500	normal	23950um	35925um	ProgressiveFrame	5	27029				 35 61914R CMot		35mm	35mm		false		rec709	rec709	rec709	rec709	ART:SL3SG3C;250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.art	1/4			4	100%	1:1	LUT:250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.cube	none	512	1504	5472	6048x4032		172.50deg	1/50sec	10:07:51:17		0.00000	060A2B340101010501010D43130000009687100C140906D7143FA6FFFE70E4D1	5504x2306+0+0			X-OCN XT		5200		32768	
42	10:07:53:10	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version4.00				0.00dB	0.20000	2.00000	24p	scene-linear	s-gamut3-cine					2025-08-27 10:07:51		NDF	00:00:26:20	6048:4032	100%		10:08:18:12		500			1.313m	49566	24p	s-log3-cine	s-log3-cine			500	normal	23950um	35925um	ProgressiveFrame	5	27029				 35 61914R CMot		35mm	35mm		false		rec709	rec709	rec709	rec709	ART:SL3SG3C;250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.art	1/4			4	100%	1:1	LUT:250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.cube	none	512	1504	5472	6048x4032		172.50deg	1/50sec	10:07:51:17		0.00000	060A2B340101010501010D43130000009687100C140906D7143FA6FFFE70E4D1	5504x2306+0+0			X-OCN XT		5200		32768	
43	10:07:53:11	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version4.00				0.00dB	0.30000	2.10000	24p	scene-linear	s-gamut3-cine					2025-08-27 10:07:51		NDF	00:00:26:20	6048:4032	100%		10:08:18:12		500			1.313m	49570	24p	s-log3-cine	s-log3-cine			500	normal	23950um	35925um	ProgressiveFrame	5	27029				 35 61914R CMot		35mm	35mm		false		rec709	rec709	rec709	rec709	ART:SL3SG3C;250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.art	1/4			4	100%	1:1	LUT:250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.cube	none	512	1504	5472	6048x4032		172.50deg	1/50sec	10:07:51:17		0.00000	060A2B340101010501010D43130000009687100C140906D7143FA6FFFE70E4D1	5504x2306+0+0			X-OCN XT		5200		32768	
44	10:07:53:12	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version4.00				0.00dB	0.30000	2.10000	24p	scene-linear	s-gamut3-cine					2025-08-27 10:07:51		NDF	00:00:26:20	6048:4032	100%		10:08:18:12		500			1.314m	49581	24p	s-log3-cine	s-log3-cine			500	normal	23950um	35925um	ProgressiveFrame	5	27029				 35 61914R CMot		35mm	35mm		false		rec709	rec709	rec709	rec709	ART:SL3SG3C;250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.art	1/4			4	100%	1:1	LUT:250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.cube	none	512	1504	5472	6048x4032		172.50deg	1/50sec	10:07:51:17		0.00000	060A2B340101010501010D43130000009687100C140906D7143FA6FFFE70E4D1	5504x2306+0+0			X-OCN XT		5200		32768	
45	10:07:53:13	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version4.00				0.00dB	0.30000	2.10000	24p	scene-linear	s-gamut3-cine					2025-08-27 10:07:51		NDF	00:00:26:20	6048:4032	100%		10:08:18:12		500			1.314m	49582	24p	s-log3-cine	s-log3-cine			500	normal	23950um	35925um	ProgressiveFrame	5	27029				 35 61914R CMot		35mm	35mm		false		rec709	rec709	rec709	rec709	ART:SL3SG3C;250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.art	1/4			4	100%	1:1	LUT:250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.cube	none	512	1504	5472	6048x4032		172.50deg	1/50sec	10:07:51:17		0.00000	060A2B340101010501010D43130000009687100C140906D7143FA6FFFE70E4D1	5504x2306+0+0			X-OCN XT		5200		32768	
46	10:07:53:14	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version4.00				0.00dB	0.30000	2.10000	24p	scene-linear	s-gamut3-cine					2025-08-27 10:07:51		NDF	00:00:26:20	6048:4032	100%		10:08:18:12		500			1.314m	49588	24p	s-log3-cine	s-log3-cine			500	normal	23950um	35925um	ProgressiveFrame	5	27029				 35 61914R CMot		35mm	35mm		false		rec709	rec709	rec709	rec709	ART:SL3SG3C;250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.art	1/4			4	100%	1:1	LUT:250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.cube	none	512	1504	5472	6048x4032		172.50deg	1/50sec	10:07:51:17		0.00000	060A2B340101010501010D43130000009687100C140906D7143FA6FFFE70E4D1	5504x2306+0+0			X-OCN XT		5200		32768	
47	10:07:53:15	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version4.00				0.00dB	0.30000	2.10000	24p	scene-linear	s-gamut3-cine					2025-08-27 10:07:51		NDF	00:00:26:20	6048:4032	100%		10:08:18:12		500			1.314m	49598	24p	s-log3-cine	s-log3-cine			500	normal	23950um	35925um	ProgressiveFrame	5	27029				 35 61914R CMot		35mm	35mm		false		rec709	rec709	rec709	rec709	ART:SL3SG3C;250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.art	1/4			4	100%	1:1	LUT:250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.cube	none	512	1504	5472	6048x4032		172.50deg	1/50sec	10:07:51:17		0.00000	060A2B340101010501010D43130000009687100C140906D7143FA6FFFE70E4D1	5504x2306+0+0			X-OCN XT		5200		32768	
48	10:07:53:16	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version4.00				0.00dB	0.30000	2.10000	24p	scene-linear	s-gamut3-cine					2025-08-27 10:07:51		NDF	00:00:26:20	6048:4032	100%		10:08:18:12		500			1.315m	49601	24p	s-log3-cine	s-log3-cine			500	normal	23950um	35925um	ProgressiveFrame	5	27029				 35 61914R CMot		35mm	35mm		false		rec709	rec709	rec709	rec709	ART:SL3SG3C;250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.art	1/4			4	100%	1:1	LUT:250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.cube	none	512	1504	5472	6048x4032		172.50deg	1/50sec	10:07:51:17		0.00000	060A2B340101010501010D43130000009687100C140906D7143FA6FFFE70E4D1	5504x2306+0+0			X-OCN XT		5200		32768	
49	10:07:53:17	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version4.00				0.00dB	0.30000	2.10000	24p	scene-linear	s-gamut3-cine					2025-08-27 10:07:51		NDF	00:00:26:20	6048:4032	100%		10:08:18:12		500			1.316m	49608	24p	s-log3-cine	s-log3-cine			500	normal	23950um	35925um	ProgressiveFrame	5	27029				 35 61914R CMot		35mm	35mm		false		rec709	rec709	rec709	rec709	ART:SL3SG3C;250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.art	1/4			4	100%	1:1	LUT:250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.cube	none	512	1504	5472	6048x4032		172.50deg	1/50sec	10:07:51:17		0.00000	060A2B340101010501010D43130000009687100C140906D7143FA6FFFE70E4D1	5504x2306+0+0			X-OCN XT		5200		32768	
50	10:07:53:18	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version4.00				0.00dB	0.30000	2.10000	24p	scene-linear	s-gamut3-cine					2025-08-27 10:07:51		NDF	00:00:26:20	6048:4032	100%		10:08:18:12		500			1.316m	49615	24p	s-log3-cine	s-log3-cine			500	normal	23950um	35925um	ProgressiveFrame	5	27029				 35 61914R CMot		35mm	35mm		false		rec709	rec709	rec709	rec709	ART:SL3SG3C;250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.art	1/4			4	100%	1:1	LUT:250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.cube	none	512	1504	5472	6048x4032		172.50deg	1/50sec	10:07:51:17		0.00000	060A2B340101010501010D43130000009687100C140906D7143FA6FFFE70E4D1	5504x2306+0+0			X-OCN XT		5200		32768	
51	10:07:53:19	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version4.00				0.00dB	0.30000	2.10000	24p	scene-linear	s-gamut3-cine					2025-08-27 10:07:51		NDF	00:00:26:20	6048:4032	100%		10:08:18:12		500			1.316m	49615	24p	s-log3-cine	s-log3-cine			500	normal	23950um	35925um	ProgressiveFrame	5	27029				 35 61914R CMot		35mm	35mm		false		rec709	rec709	rec709	rec709	ART:SL3SG3C;250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.art	1/4			4	100%	1:1	LUT:250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.cube	none	512	1504	5472	6048x4032		172.50deg	1/50sec	10:07:51:17		0.00000	060A2B340101010501010D43130000009687100C140906D7143FA6FFFE70E4D1	5504x2306+0+0			X-OCN XT		5200		32768	
52	10:07:53:20	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version4.00				0.00dB	0.30000	2.10000	24p	scene-linear	s-gamut3-cine					2025-08-27 10:07:51		NDF	00:00:26:20	6048:4032	100%		10:08:18:12		500			1.316m	49615	24p	s-log3-cine	s-log3-cine			500	normal	23950um	35925um	ProgressiveFrame	5	27029				 35 61914R CMot		35mm	35mm		false		rec709	rec709	rec709	rec709	ART:SL3SG3C;250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.art	1/4			4	100%	1:1	LUT:250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.cube	none	512	1504	5472	6048x4032		172.50deg	1/50sec	10:07:51:17		0.00000	060A2B340101010501010D43130000009687100C140906D7143FA6FFFE70E4D1	5504x2306+0+0			X-OCN XT		5200		32768	
53	10:07:53:21	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version4.00				0.00dB	0.20000	2.10000	24p	scene-linear	s-gamut3-cine					2025-08-27 10:07:51		NDF	00:00:26:20	6048:4032	100%		10:08:18:12		500			1.316m	49615	24p	s-log3-cine	s-log3-cine			500	normal	23950um	35925um	ProgressiveFrame	5	27029				 35 61914R CMot		35mm	35mm		false		rec709	rec709	rec709	rec709	ART:SL3SG3C;250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.art	1/4			4	100%	1:1	LUT:250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.cube	none	512	1504	5472	6048x4032		172.50deg	1/50sec	10:07:51:17		0.00000	060A2B340101010501010D43130000009687100C140906D7143FA6FFFE70E4D1	5504x2306+0+0			X-OCN XT		5200		32768	
54	10:07:53:22	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version4.00				0.00dB	0.20000	2.10000	24p	scene-linear	s-gamut3-cine					2025-08-27 10:07:51		NDF	00:00:26:20	6048:4032	100%		10:08:18:12		500			1.316m	49615	24p	s-log3-cine	s-log3-cine			500	normal	23950um	35925um	ProgressiveFrame	5	27029				 35 61914R CMot		35mm	35mm		false		rec709	rec709	rec709	rec709	ART:SL3SG3C;250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.art	1/4			4	100%	1:1	LUT:250813_MAIN_SLOG3-CINE_VENICE_TO_709_X65.cube	none	512	1504	5472	6048x4032		172.50deg	1/50sec	10:07:51:17		0.00000	060A2B340101010501010D43130000009687100C140906D7143FA6FFFE70E4D1	5504x2306+0+0			X-OCN XT		5200		32768	
