Index	Timecode	Active Area Aspect Ratio	Anamorphic Lens Squeeze Ratio	Aperture Ring T Stop Position	Aperture Value	Aspect Ratio	Audio Bit Depth	Audio Codec	Audio Sampling Rate	Auto Exposure Mode	Auto Focus Sensing Area Setting	Auto White Balance Mode	Camera	Camera Attributes	Camera Knee Point	Camera Knee Slope	Camera Master Black Level	Camera Master Gain Adjustment	Camera Roll Angle	Camera Tilt Angle	Capture FPS	Capture Gamma Equation	Color For Look	Color Primaries	Cooke Distortion Mapping	Cooke Inertial Data	Cooke Protocol User Metadata	Creation Date	Current Focal Length	Drop Frame	Duration	Effective Marker Aspect Ratio	Electrical Extender Magnification	Embedded 3DLUT	End	Entrance Pupil Position	Exposure Index	Far Focus Distance	Focus Distance	Focus Position From Image Plane	Focus Ring Position	Format FPS	Gamma For Look	Gamma for CDL	Horizontal Field of View	Hyperfocal Distance	ISO Sensitivity	Image Orientation	Image Sensor Dimension Effective Height	Image Sensor Dimension Effective Width	Image Sensor Readout Mode	Iris F-Number	Iris Ring Position	Iris T-Number	LED Wall Color Temperature	LED Wall Moire Alert Level	Lens Attributes	Lens Serial Number	Lens Zoom 35mm Still Camera Equivalent	Lens Zoom Actual Focal Length	Light Blend Ratio with LED Wall	Look Process Baked	Macro Setting	Monitoring Base Curve	Monitoring Characteristics	Monitoring Coding Equations	Monitoring Color Primaries	Monitoring Descriptions	ND Filter Wheel	Near Focus Distance	Normalised Zoom Value	Number of Audio Channels	Optical Extender Magnification	Pixel Aspect Ratio	Post-CDL Transform	Pre-CDL Transform	Raw Black Code	Raw Gray Code	Raw White Code	Resolution	Rotary Shutter Mode	Shutter Speed Angle	Shutter Speed Time	Start	Sub Sampling	Tint Correction	UMID	User Frame Line1	User Frame Line2	Video Bit Depth	Video Codec	Video Signal	White Balance	ZEISS eXtended Data	Zoom Ring Position	
86	00:03:28:01	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.10000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.751m	22031	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	19157				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
87	00:03:28:02	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.10000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.751m	22031	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	19157				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
88	00:03:28:03	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.10000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.751m	22031	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	19157				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
89	00:03:28:04	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.10000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.751m	22031	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	19157				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
90	00:03:28:05	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.751m	22053	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	19157				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
91	00:03:28:06	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.751m	22079	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	19157				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
92	00:03:28:07	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.754m	22079	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	19157				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
93	00:03:28:08	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.754m	22079	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	19157				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
94	00:03:28:09	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.754m	22079	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	19157				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
95	00:03:28:10	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.754m	22038	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	19157				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
96	00:03:28:11	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.751m	22038	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	19157				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
97	00:03:28:12	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.10000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.751m	22030	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	38765				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
98	00:03:28:13	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.10000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.751m	22030	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	38765				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
99	00:03:28:14	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.10000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.751m	22054	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	38765				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
100	00:03:28:15	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.10000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.751m	22054	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	38765				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
101	00:03:28:16	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.10000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.751m	22261	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	37792				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
102	00:03:28:17	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.10000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.763m	22261	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	37792				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
103	00:03:28:18	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.10000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.775m	22454	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	37792				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
104	00:03:28:19	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.10000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.775m	22454	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	37792				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
105	00:03:28:20	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.785m	22601	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	37792				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
106	00:03:28:21	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.785m	22601	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	37792				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
107	00:03:28:22	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.10000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.791m	22655	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	2.86	980				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
108	00:03:28:23	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.10000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.791m	22655	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	2.86	980				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
109	00:03:29:00	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.10000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.782m	22544	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	2.86	980				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
110	00:03:29:01	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.10000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.782m	22544	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	27086				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
111	00:03:29:02	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.10000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.769m	22331	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	27086				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
112	00:03:29:03	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.10000	-1.40000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.769m	22331	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	27086				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
113	00:03:29:04	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.10000	-1.40000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.766m	22273	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	27086				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
114	00:03:29:05	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.10000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.766m	22423	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	27086				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
